  2509.17    0.12048E-15    0.89252E-17    0.22186-159    0.16436-160    0.78314E-15
  2935.31    0.42072E-14    0.46742E-15    0.36374E-14    0.40412E-15    0.15784E-14
  2938.38    0.41884E-14    0.46650E-15    0.36456E-14    0.40605E-15    0.15846E-14
  2941.45    0.41495E-14    0.46332E-15    0.40706E-14    0.45451E-15    0.15908E-14
  2944.53    0.41275E-14    0.46201E-15    0.46421E-14    0.51961E-15    0.15970E-14
  2947.61    0.41040E-14    0.46052E-15    0.43791E-14    0.49140E-15    0.16032E-14
  2950.70    0.40860E-14    0.45965E-15    0.36108E-14    0.40618E-15    0.16094E-14
  2953.78    0.40529E-14    0.45705E-15    0.24376E-14    0.27489E-15    0.16157E-14
  2956.87    0.40431E-14    0.45708E-15    0.18140E-14    0.20508E-15    0.16219E-14
  2959.97    0.40346E-14    0.45726E-15    0.22781E-14    0.25818E-15    0.16282E-14
  2963.06    0.40286E-14    0.45770E-15    0.27267E-14    0.30978E-15    0.16344E-14
  2966.16    0.40471E-14    0.46094E-15    0.33664E-14    0.38341E-15    0.16407E-14
  2969.27    0.40549E-14    0.46297E-15    0.39793E-14    0.45434E-15    0.16470E-14
  2972.38    0.40207E-14    0.46020E-15    0.37835E-14    0.43305E-15    0.16533E-14
  2975.49    0.40313E-14    0.46255E-15    0.38796E-14    0.44514E-15    0.16596E-14
  2978.60    0.40428E-14    0.46501E-15    0.37400E-14    0.43018E-15    0.16659E-14
  2981.71    0.40565E-14    0.46774E-15    0.29486E-14    0.33999E-15    0.16722E-14
  2984.83    0.40838E-14    0.47204E-15    0.32394E-14    0.37444E-15    0.16785E-14
  2987.96    0.41096E-14    0.47619E-15    0.38630E-14    0.44762E-15    0.16849E-14
  2991.08    0.41563E-14    0.48279E-15    0.39019E-14    0.45324E-15    0.16912E-14
  2994.21    0.42101E-14    0.49024E-15    0.41443E-14    0.48257E-15    0.16975E-14
  2997.35    0.42465E-14    0.49568E-15    0.35780E-14    0.41765E-15    0.17039E-14
  3000.48    0.42697E-14    0.49960E-15    0.29275E-14    0.34255E-15    0.17103E-14
  3003.62    0.42885E-14    0.50304E-15    0.21872E-14    0.25656E-15    0.17166E-14
  3006.76    0.43255E-14    0.50861E-15    0.22392E-14    0.26330E-15    0.17230E-14
  3009.91    0.44164E-14    0.52057E-15    0.30242E-14    0.35646E-15    0.17294E-14
  3013.06    0.45046E-14    0.53225E-15    0.50631E-14    0.59825E-15    0.17358E-14
  3016.21    0.45992E-14    0.54476E-15    0.58634E-14    0.69449E-15    0.17422E-14
  3019.37    0.46826E-14    0.55598E-15    0.56953E-14    0.67623E-15    0.17486E-14
  3022.53    0.47725E-14    0.56803E-15    0.48800E-14    0.58083E-15    0.17550E-14
  3025.69    0.48316E-14    0.57646E-15    0.42785E-14    0.51047E-15    0.17614E-14
  3028.86    0.49504E-14    0.59207E-15    0.33666E-14    0.40265E-15    0.17679E-14
  3032.02    0.50665E-14    0.60742E-15    0.39768E-14    0.47678E-15    0.17743E-14
  3035.20    0.52109E-14    0.62624E-15    0.36324E-14    0.43654E-15    0.17808E-14
  3038.37    0.53394E-14    0.64324E-15    0.37151E-14    0.44755E-15    0.17872E-14
  3041.55    0.54814E-14    0.66193E-15    0.44738E-14    0.54025E-15    0.17937E-14
  3044.73    0.55663E-14    0.67381E-15    0.52012E-14    0.62961E-15    0.18001E-14
  3047.92    0.56855E-14    0.68989E-15    0.59470E-14    0.72162E-15    0.18066E-14
  3051.11    0.57865E-14    0.70384E-15    0.61662E-14    0.75002E-15    0.18131E-14
  3054.30    0.58820E-14    0.71717E-15    0.57508E-14    0.70118E-15    0.18196E-14
  3057.50    0.59591E-14    0.72832E-15    0.56983E-14    0.69644E-15    0.18261E-14
  3060.70    0.60140E-14    0.73678E-15    0.56317E-14    0.68995E-15    0.18326E-14
  3063.90    0.60662E-14    0.74495E-15    0.47789E-14    0.58688E-15    0.18391E-14
  3067.10    0.61438E-14    0.75630E-15    0.58068E-14    0.71481E-15    0.18456E-14
  3070.31    0.62484E-14    0.77101E-15    0.59641E-14    0.73593E-15    0.18521E-14
  3073.53    0.63478E-14    0.78514E-15    0.52401E-14    0.64814E-15    0.18587E-14
  3076.74    0.63610E-14    0.78865E-15    0.44667E-14    0.55380E-15    0.18652E-14
  3079.96    0.63014E-14    0.78312E-15    0.43943E-14    0.54612E-15    0.18717E-14
  3083.18    0.62276E-14    0.77580E-15    0.34992E-14    0.43591E-15    0.18783E-14
  3086.41    0.61563E-14    0.76874E-15    0.37984E-14    0.47431E-15    0.18848E-14
  3089.64    0.61148E-14    0.76537E-15    0.47297E-14    0.59200E-15    0.18914E-14
  3092.87    0.61184E-14    0.76763E-15    0.49684E-14    0.62335E-15    0.18979E-14
  3096.11    0.60537E-14    0.76132E-15    0.56072E-14    0.70517E-15    0.19045E-14
  3099.35    0.59395E-14    0.74872E-15    0.62114E-14    0.78300E-15    0.19111E-14
  3102.59    0.57935E-14    0.73205E-15    0.61949E-14    0.78277E-15    0.19176E-14
  3105.84    0.56305E-14    0.71313E-15    0.57271E-14    0.72537E-15    0.19242E-14
  3109.08    0.54866E-14    0.69654E-15    0.55827E-14    0.70874E-15    0.19308E-14
  3112.34    0.54333E-14    0.69140E-15    0.50557E-14    0.64335E-15    0.19374E-14
  3115.59    0.53662E-14    0.68448E-15    0.55361E-14    0.70614E-15    0.19440E-14
  3118.85    0.52596E-14    0.67246E-15    0.54575E-14    0.69776E-15    0.19506E-14
  3122.12    0.51525E-14    0.66031E-15    0.49509E-14    0.63447E-15    0.19572E-14
  3125.38    0.49937E-14    0.64147E-15    0.48652E-14    0.62496E-15    0.19638E-14
  3128.65    0.48712E-14    0.62719E-15    0.43339E-14    0.55802E-15    0.19705E-14
  3131.93    0.48157E-14    0.62149E-15    0.39120E-14    0.50487E-15    0.19771E-14
  3135.20    0.47762E-14    0.61785E-15    0.42388E-14    0.54833E-15    0.19837E-14
  3138.48    0.47294E-14    0.61322E-15    0.40725E-14    0.52804E-15    0.19903E-14
  3141.77    0.46906E-14    0.60961E-15    0.35773E-14    0.46492E-15    0.19970E-14
  3145.06    0.46109E-14    0.60065E-15    0.38676E-14    0.50383E-15    0.20036E-14
  3148.35    0.45152E-14    0.58956E-15    0.38301E-14    0.50010E-15    0.20103E-14
  3151.64    0.44348E-14    0.58040E-15    0.39373E-14    0.51530E-15    0.20169E-14
  3154.94    0.43675E-14    0.57293E-15    0.39465E-14    0.51770E-15    0.20236E-14
  3158.24    0.43072E-14    0.56633E-15    0.39663E-14    0.52151E-15    0.20302E-14
  3161.54    0.42625E-14    0.56175E-15    0.38038E-14    0.50130E-15    0.20369E-14
  3164.85    0.42314E-14    0.55895E-15    0.36443E-14    0.48139E-15    0.20436E-14
  3168.16    0.41876E-14    0.55444E-15    0.39462E-14    0.52248E-15    0.20502E-14
  3171.48    0.41662E-14    0.55289E-15    0.38377E-14    0.50929E-15    0.20569E-14
  3174.80    0.41267E-14    0.54891E-15    0.40263E-14    0.53556E-15    0.20636E-14
  3178.12    0.40962E-14    0.54611E-15    0.43308E-14    0.57739E-15    0.20703E-14
  3181.44    0.40661E-14    0.54335E-15    0.43184E-14    0.57706E-15    0.20770E-14
  3184.77    0.40840E-14    0.54699E-15    0.36361E-14    0.48701E-15    0.20836E-14
  3188.10    0.41020E-14    0.55067E-15    0.29925E-14    0.40173E-15    0.20903E-14
  3191.44    0.41425E-14    0.55739E-15    0.29125E-14    0.39189E-15    0.20970E-14
  3194.78    0.41410E-14    0.55847E-15    0.25732E-14    0.34703E-15    0.21037E-14
  3198.12    0.41291E-14    0.55814E-15    0.23799E-14    0.32169E-15    0.21104E-14
  3201.47    0.41497E-14    0.56221E-15    0.23650E-14    0.32041E-15    0.21171E-14
  3204.82    0.41979E-14    0.57003E-15    0.24381E-14    0.33107E-15    0.21238E-14
  3208.17    0.42358E-14    0.57650E-15    0.23595E-14    0.32113E-15    0.21306E-14
  3211.53    0.42693E-14    0.58239E-15    0.36710E-14    0.50077E-15    0.21373E-14
  3214.89    0.42909E-14    0.58667E-15    0.43109E-14    0.58940E-15    0.21440E-14
  3218.25    0.43125E-14    0.59096E-15    0.50898E-14    0.69748E-15    0.21507E-14
  3221.62    0.43551E-14    0.59816E-15    0.50211E-14    0.68964E-15    0.21574E-14
  3224.99    0.43950E-14    0.60502E-15    0.53079E-14    0.73069E-15    0.21641E-14
  3228.36    0.44158E-14    0.60926E-15    0.49883E-14    0.68825E-15    0.21709E-14
  3231.74    0.44285E-14    0.61240E-15    0.41098E-14    0.56834E-15    0.21776E-14
  3235.12    0.44999E-14    0.62369E-15    0.39906E-14    0.55310E-15    0.21843E-14
  3238.51    0.45580E-14    0.63317E-15    0.43338E-14    0.60202E-15    0.21911E-14
