#SELECT
#   TOP 10000
#   pmra, pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))#
#	and (r1mag-kmag)<1.185
#	and e_kmag<0.4
#	and r1mag>16
#pmra pmde
-3.80556E-7 1.91944E-6
-1.97778E-6 -8.28889E-6
-8.825E-6 2.74722E-6
-3.525E-6 -9.04444E-6
-9.7E-6 4.71944E-6
-1.07778E-6 2.15278E-6
-6.35278E-6 5.17778E-6
-8.62222E-6 5.28889E-6
6.30556E-7 1.55833E-6
-8.19444E-7 1.53333E-5
-4.525E-6 1.63889E-7
-5.83333E-6 5.36111E-7
-9.75278E-6 -3.15639E-5
5.85417E-5 -7.58333E-5
-2.1825E-5 -4.90361E-5
1.86889E-5 2.9525E-5
-2.99806E-5 -8.41667E-7
3.45E-6 -4.56389E-6
6.14972E-5 -3.42111E-5
3.33333E-7 5.01111E-6
-1.41944E-6 1.33611E-6
-2.46194E-5 -4.69806E-5
4.25139E-5 -4.21222E-5
-1.71278E-5 1.23639E-5
2.89917E-5 1.1475E-5
-4.48028E-5 -2.08917E-5
-4.03583E-5 -3.08028E-5
-7.08889E-6 -7.26944E-6
-1.7E-6 -5.95917E-5
-1.21111E-5 4.19778E-5
1.33028E-5 -5.91917E-5
7.92778E-6 -3.39444E-6
4.69722E-6 -8.67778E-6
6.28583E-5 -3.7125E-5
3.80528E-5 -5.34972E-5
-4.97222E-7 1.05278E-6
-3.29556E-5 -1.15306E-5
2.16944E-6 -1.08056E-6
-1.63611E-6 -7.82056E-5
-4.55556E-7 -3.41944E-6
1.00278E-5 3.56944E-6
-1.03889E-6 -3.22222E-6
3.125E-6 4.04722E-6
-8.825E-6 -1.59167E-6
-2.78611E-6 -3.98056E-6
1.27222E-5 -3.6275E-5
1.00972E-5 3.54917E-5
-4.06111E-5 3.92306E-5
-9.44444E-8 -3.56111E-6
-3.3E-6 6.11111E-6
6.04944E-5 -7.01444E-5
1.48028E-5 -5.87E-5
-9.56389E-6 8.19722E-6
1.67639E-5 -6.53056E-6
-5.13889E-6 8.41111E-6
3.12806E-5 1.35306E-5
-8.70833E-6 5.0E-7
-6.71111E-6 -8.22611E-5
2.47778E-6 2.47222E-6
2.52833E-5 -6.01861E-5
2.31389E-6 1.22194E-5
-1.31111E-6 4.35556E-6
